Metropolitan area,Debt,Income,Unemployment
"Washington, D.C.",1285,103.5,6.3
Seattle,1135,81.7,8.5
Baltimore,1133,82.2,8.1
Boston,1133,89.5,7.6
Denver,1104,75.9,8.1
San Francisco,1098,93.4,9.3
San Diego,1076,75.5,10.6
Sacramento,1045,73.1,12.4
Los Angeles,1024,68.2,12.9
Chicago,1017,75.1,9.7
Philadelphia,1011,78.3,9.2
Minneapolis,1011,84,7
New York,989,78.3,9.3
Atlanta,986,71.8,10.3
Dallas,970,68.3,8.4
Phoenix,957,66.6,9.1
Portland,948,71.2,10.2
Cincinnati,920,69.5,9.3
Houston,889,65.1,8.7
Columbus,888,68.6,8.3
St. Louis,886,68.3,9.9
Miami,867,60.2,14.5
Detroit,832,69.8,15.7
Cleveland,812,64.8,9.6
Tampa,791,59.4,12.6
Pittsburgh,763,63,8.3
