,Species,Owner,Country.of.Origin,Farm.Name,ICO.Number,Company,Number.of.Bags,Bag.Weight,Harvest.Year,Processing.Method,Color,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,TotalScore
1,Arabica,metad plc,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,300,60 kg,2014,Washed / Wet,Green,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,0,0,0,m,1950,2200,2075,90.58
2,Arabica,metad plc,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,300,60 kg,2014,Washed / Wet,Green,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,0,0,1,m,1950,2200,2075,89.92
3,Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",,,5,1,,,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,0,0,0,m,1600,1800,1700,89.75
4,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,,yidnekachew debessa coffee plantation,320,60 kg,2014,Natural / Dry,Green,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,0,0,2,m,1800,2200,2000,89
5,Arabica,metad plc,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,300,60 kg,2014,Washed / Wet,Green,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,0,0,2,m,1950,2200,2075,88.83
6,Arabica,ji-ae ahn,Brazil,,,,100,30 kg,2013,Natural / Dry,Bluish-Green,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,0,0,1,m,NA,NA,NA,88.83
7,Arabica,hugo valdivia,Peru,,,richmond investment-coffee department,100,69 kg,2012,Washed / Wet,Bluish-Green,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,0,0,0,m,NA,NA,NA,88.75
8,Arabica,ethiopia commodity exchange,Ethiopia,aolme,010/0338,,300,60 kg,Mar-10,,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03,0,0,0,m,1570,1700,1635,88.67
9,Arabica,ethiopia commodity exchange,Ethiopia,aolme,010/0338,,300,60 kg,Mar-10,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03,0,0,0,m,1570,1700,1635,88.42
10,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,2014/15,diamond enterprise plc,50,60 kg,2014,Natural / Dry,Green,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,0,0,4,m,1795,1850,1822.5,88.25
11,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,,fahem coffee plantation,300,60 kg,2014,Natural / Dry,,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1,0,0,1,m,1855,1955,1905,88.08
12,Arabica,cqi q coffee sample representative,United States,el filo,unknown,coffee quality institute,10,1 kg,2014,Washed / Wet,,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0,0,0,0,m,1872,1872,1872,87.92
13,Arabica,cqi q coffee sample representative,United States,los cedros,unknown,coffee quality institute,10,1 kg,2014,Washed / Wet,,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0,0,0,0,m,1943,1943,1943,87.92
14,Arabica,grounds for health admin,United States (Hawaii),arianna farms,,,1,1,Sept 2009 - April 2010,,,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0,0,0,2,ft,609.6,609.6,609.6,87.92
15,Arabica,ethiopia commodity exchange,Ethiopia,aolme,010/0338,,300,60 kg,Mar-10,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05,0,0,2,m,1570,1700,1635,87.83
16,Arabica,cqi q coffee sample representative,United States,el águila,unknown,coffee quality institute,10,1 kg,2014,Washed / Wet,,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0,0,0,0,m,2080,2080,2080,87.58
17,Arabica,grounds for health admin,Indonesia,toarco jaya,,,1,"2 kg,lbs",May-August,,,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03,0,0,0,m,1200,1800,1500,87.42
